11CMALLSKY,11CMBONN,1SXPS,20CMNORTH,21CMBONN
2FGL,2MASS,2MASX,2RXS,3CR
4C,4C_VV318,4FGL,5C,6C
6CMBONN,6CMNORTH,7C,7CG,7CQ
7C_var,87GB,87GB_Mingalie8C,9C
9C_cont,ACT-CL,AGN_Best,AGN_Condon,AGN_Kovalev
AGN_Tingay,AKARI,AMIGPS,AT20G,AT20Go
AT20G_BSS,ATCA_18GHz,ATCA_cal,ATCA_Kuhr,ATESP
ATPMN,B3-VLA,B3.1,B3.2,B3.3
B3_IDN,B3_KMP,BATSE4,BG_WSRT,Blazars_Min
BOLOGNA,BROS,BR_GALS,BSC,BZCAT
CDS90,CGMW,CGPS,CGRaBS,CGRaBS_15GHz
CHANDRA_GC,CHANDRA_MP,CLASS,CL_Abell,CL_Abell89
CL_AndernachCL_Bahcall,CL_Fornax,CL_Goto,CL_Lopes
CL_Owen82,CL_Reynolds,CL_SDSS,CL_Slee1,CL_Slee2
CL_Slee3,CL_VLA2,CL_VLA4,CL_WH15,CL_WSRT
COLD,COLD_Bursov,CRATES,CSH2O,CUL80_160
DENIS,DRAGNs,DRAO,DSUR5,eFEDS
EGRET1,EGRET2,EGRET3,EINSTEIN,EIN_2Sig
EIN_Slew,ELAISr,EMSS,ESO,EXSS
F-GAMMA,FIRST,FIRST-APM,FIRST-APM3,FIRST_Amir
FL8Y,FLSGMRT,FLSVLA,FLSWSRT,GALCEN
GALS_BAO,GALS_Burb,GALS_DresselGALS_K72,GAL_avoid
GB1-3,GB6,GBI_mon,GC_330MHz,GLEAM
GPA,GPS_DallacasaGPS_deVries,GPS_Fanti,GPS_Mingaliev
GPS_Snellen,GPS_SotnikovaGPS_Stang,GPS_Tinti,GPS_White
GRBLC,GT_patrol,HII_Caswell,HII_Giveon,HII_IRAS
HII_IRAS_HM,HII_Kuchar,HII_Lockman,HII_Marsal,HII_Paladini
HII_Sharp,HII_Walsh,HII_Wink,HII_WISE,HI_DATA
HI_GALS,HMQ,IBIS,ICRF,IPS_102MHz
IPS_81MHz,IRASFSC,IRASPSC1,IRASPSC2,IRASSSC
IRASSSSC,IRAS_Condon,JVAS,JVAS2,JVAS3
KGS,KP73,KR80_TrushkinKUEHR,KUEHR_pol
LCRS,LoTSS,LSBGALS,MAGPIS,MARK
MASTER_OPT,MASTER_RAD,MC,MCG,MC_sur
MDS,MegaX-LRG,Messier,MG-VLA,MGCLS
MGPS2,MG_VLA,MIGAL,MITG1-4,MIYUN
MOJAVE,MORX,MRC,MRC_1Jy,MWACS
NAIC,NAIC_5GHz,NBG,NCP_5GHz,NCP_Mingaliev
NEK_30MHz,NEP,NEWPS,NGC2000,NRO_10GHz
NRO_RM,NSS102,NVSS,NVSS_Bonn,NVSS_cal
NVSS_SPI,OHIO,OH_survey,OOTY,PCNT
PDF,PGC,PHZ,PKSCAT90,PKSGAL
PKS_8GHz,PKS_flat,PKS_flat_05,PKS_SEST,Planck
Planck-ATCA,PMN,PMNM,PMN_MingalievPMPSR
PN_ESO,PN_IRAS_HM,PN_NVSS,PN_S,POL_Eich
POL_Tabara,POL_Zukow,PSR_NVSS,PSZ2,PULSARS
QORG,QSO1,QSO2,QSO_2MASS,QSO_Boyle
QSO_FIRST,QSO_KellermanQSO_LBQS,QSO_mm,QSO_NVSS
QSO_Quin,RACS,RADIOCAT,RASS-BSC,RASS-FSC
RASS_ID,RASS_ID3,RBSC-NVSS,RBSC-USNO,RC3
RCR,RCS86,RC_BSAO,RFC,RGLIST
ROSAT,ROSAT_Brink,ROSAT_Gal,ROSAT_Laur,ROSAT_Neum
ROSAT_Reich,RR_frame,RXTE,RZF,S-PASS
S4,S4_10GHz,SAO,SDSS,SDSS_BL
SMcA75,SNE,SNR_Green,SNR_Kassim,SNR_Kovalenko
SNR_search,SNR_TrushkinSRC_31GHz,SRC_400,SRC_81MHz
SRC_90GHz,SRC_966,SRC_Alt,SRC_AltschuleSRC_BKB77
SRC_Brandie,SRC_Cohen,SRC_Dent,SRC_Edelson,SRC_Fanti
SRC_FIN,SRC_Ghosh,SRC_Healey,SRC_IDV,SRC_JCMT
SRC_Kaplan,SRC_Kiikov,SRC_Kovalev,SRC_MitchellSRC_Munro
SRC_Niell,SRC_NRAO,SRC_Owen,SRC_Reuter,SRC_Ristow
SRC_Sadler,SRC_SEST,SRC_Slee,SRC_SMA,SRC_Sowards
SRC_Steppe,SRC_Stickel,SRC_TerasrantSRC_TerasrantSRC_Terasrant
SRC_TerasrantSRC_UlvestadSRC_UMRAO,SRC_UMRAO85,SRC_Vollmer
SRC_Volvach,SRC_White,SRC_Wills,SSRS2,STARS_RAD
STARS_WR,SUMSS,Texas,Texas_opt,TGSS
THOR,TRB2006,TRB2007,UGC,USNO-SA2.0
USS_ChambersUSS_DeBreuckUSS_RottgerinUTR,UTR13
UTR_ID,UZC,VCS,VERON_XIII,VIRMOS
VLA404,VLASS,VLA_CAL,VLA_GPS_Bec,VLA_GPS_Gar
VLA_GPS_Hel,VLA_GPS_Zoo,VLA_NEP,VLA_Pol_Cal_dVLA_Stripe82
VLBI_2cm,VLBI_sur,VLBI_Taylor,VLSSr,VSOP
VV83,WENSS,WISE,WISH,WMAP
WMAP_Davies,WMAP_VolvachWNGAL,WSRT,WSRTGP
WSRT_A2199,X-BINARY,Z2,ZCAT,ZELEN_Amir
ZELEN_Kon,ZELEN_Lar,Zenith
